module,metric,mean,std
EmergencyLaneScenario.node[9].veinsmobility,startTime,17.65,6.29325035256
EmergencyLaneScenario.node[28].appl,receivedWSAs,0.0,0.0
EmergencyLaneScenario.node[27].nic.mac1609_4,TotalLostPackets,9.0,0.0
EmergencyLaneScenario.node[23].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.rsu[0].appl,totalEmergencyDuration,0.0,0.0
EmergencyLaneScenario.node[10].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[5].nic.mac1609_4,TimesIntoBackoff,37.5,53.033008589
EmergencyLaneScenario.node[3].nic.mac1609_4,NumInternalContention,0.0,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,ReceivedBroadcasts,853.0,0.0
EmergencyLaneScenario.node[33].nic.mac1609_4,SNIRLostPackets,0.0,0.0
EmergencyLaneScenario.node[3].appl,receivedWSMs,18.5,26.1629509039
EmergencyLaneScenario.node[9].veinsmobility,stopTime,33.7,15.6977705423
EmergencyLaneScenario.node[23].veinsmobility,totalTime,20.4,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[6].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[29].appl,laneChangesPerformed,0.0,0.0
EmergencyLaneScenario.node[33].appl,laneChangesPerformed,0.0,0.0
EmergencyLaneScenario.node[21].nic.mac1609_4,SlotsBackoff,141.0,0.0
EmergencyLaneScenario.node[17].nic.mac1609_4,TimesIntoBackoff,19.0,0.0
EmergencyLaneScenario.node[22].nic.mac1609_4,collisions:count,0.0,0.0
EmergencyLaneScenario.node[3].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[18].nic.mac1609_4,RetriesExceeded,0.0,0.0
EmergencyLaneScenario.node[20].nic.mac1609_4,channelBusy:timeavg,0.00263770588235,0.0
EmergencyLaneScenario.node[1].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[8].nic.mac1609_4,TotalLostPackets,0.0,0.0
EmergencyLaneScenario.node[18].nic.mac1609_4,TotalLostPackets,0.0,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,NumInternalContention,0.0,0.0
EmergencyLaneScenario.node[16].veinsmobility,totalDistance,75.4297064441,0.0
EmergencyLaneScenario.node[9].veinsmobility,totalTime,15.8,21.7788888605
EmergencyLaneScenario.node[34].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[7].nic.mac1609_4,SentPackets,15.5,21.9203102168
EmergencyLaneScenario.node[24].appl,receivedBSMs,158.0,0.0
EmergencyLaneScenario.node[13].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[8].nic.mac1609_4,channelBusy:timeavg,0.00116345643939,0.00164537587582
